,twitter_handle,display_name,followers_count,following_count,acct_created
236,@AndyFillmoreHFX,"Andy Fillmore, MP",14875,4743,2010-06-22 19:11:14
237,@MarkGerretsen,Mark Gerretsen \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,9055,849,2010-06-19 00:49:41
238,@BlaineFCalkins,Blaine Calkins,6990,1029,2010-06-16 14:38:18
239,@dianefinleymp,Diane Finley,316,5,2010-05-18 13:51:43
240,@KerryDiotte,KerryDiotte,8874,6329,2010-05-06 20:31:44
241,@cathmckenna,Catherine McKenna \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,150524,7730,2010-05-05 01:09:09
242,@SorayaMartinezF,Soraya Martinez Ferrada,2299,1371,2010-04-14 03:32:55
243,@MikeLakeMP,Mike Lake,12740,3728,2010-04-04 04:38:35
244,@jasrajshallan,Jasraj Singh Hallan,12053,761,2010-04-02 21:41:02
245,@LarryBagnell,Larry Bagnell,2638,1594,2010-03-25 06:16:44
246,@NeilREllis,Neil Ellis,6735,5974,2010-03-12 02:52:18
247,@CanadaFP,Foreign Policy CAN,164348,1240,2010-03-09 18:54:09
248,@RABlaney,Rachel Blaney (She/Her),3187,1144,2010-03-09 06:04:17
249,@BShanahanLib,Brenda Shanahan,4339,893,2010-02-27 17:27:00
250,@vankayak,Adam van Koeverden,51220,3603,2010-02-09 20:07:59
251,@IaconoMP,Angelo Iacono,4074,1101,2010-01-07 03:33:51
252,@HMcPhersonMP,Heather McPherson,6195,1880,2009-12-21 23:07:53
253,@markhollandlib,Mark Holland,8805,2361,2009-10-26 21:58:36
254,@dckurek,Damien C. Kurek,1808,2505,2009-10-19 02:57:33
255,@MarcGarneau,Marc Garneau,68094,5215,2009-10-07 23:03:26
256,@CdEntremontMP,Chris d'Entremont,3126,776,2009-10-05 19:48:15
257,@geoffregan,Geoff Regan,12491,1143,2009-09-21 21:02:49
258,@HonStevenBlaney,Steven Blaney,9465,250,2009-09-19 03:17:21
259,@Cathy_McLeod,Cathy McLeod MP,6551,833,2009-08-26 14:36:00
260,@DavidSweetMP,David Sweet,12073,1316,2009-08-24 16:57:31
261,@paulmanly,Paul Manly,6946,1036,2009-08-19 19:42:45
262,@WayneEaster,"Hon. Wayne Easter, M.P.",13411,2544,2009-08-14 12:33:55
263,@Rob_Oliphant,Rob Oliphant,9988,1643,2009-08-12 15:18:28
264,@ColinCarrieCPC,Colin Carrie,6641,633,2009-08-05 18:20:44
265,@karinagould,Karina Gould,24268,2044,2009-07-30 15:52:18
266,@CarolHughesMP,Carol Hughes,3865,302,2009-07-28 14:24:27
267,@iamIqraKhalid,Iqra Khalid \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,16794,975,2009-07-19 23:03:59
268,@_BryanMay,Bryan May,5057,2060,2009-06-29 15:01:48
269,@rubysahotalib,Ruby Sahota,12929,2191,2009-06-20 23:39:22
270,@Yvan_Baker,"Yvan Baker, MP",4999,2809,2009-06-16 17:59:04
271,@MarciIen,Marci Ien,33794,3091,2009-06-15 13:50:37
272,@chriswarkentin,Chris Warkentin,7674,715,2009-06-09 19:48:41
273,@GregFergus,Greg Fergus,8056,938,2009-06-09 14:33:26
274,@jamesbezan,James Bezan,12220,1489,2009-06-04 20:57:00
275,@cherylgallant,Cheryl Gallant,6658,1839,2009-05-30 15:49:06
276,@anitavandenbeld,Anita Vandenbeld,7222,2029,2009-05-30 10:21:51
277,@Carolyn_Bennett,Carolyn Bennett,54380,8874,2009-05-16 21:55:38
278,@sukhdhaliwal,Sukh Dhaliwal,5905,1161,2009-05-08 07:15:00
279,@yfblanchet,Yves-F. Blanchet \xf0\x9f\x8e\x97\xe2\x9a\x9c\xef\xb8\x8f,38068,2661,2009-05-06 20:00:04
280,@JohnBrassardCPC,John Brassard,6314,536,2009-05-06 03:14:22
281,@gerarddeltell,G\xc3\xa9rard Deltell,18136,154,2009-04-28 18:02:30
282,@MPRandyHoback,Randy Hoback,6744,1074,2009-04-24 19:47:36
283,@JohnNaterMP,John Nater,3232,1790,2009-04-23 13:08:30
284,@j_maloney,James Maloney,3933,2594,2009-04-18 15:32:59
285,@mary_ng,Mary Ng,21154,2681,2009-04-08 16:31:56
286,@KellyBlockmp,Kelly Block MP,8005,399,2009-04-04 14:48:00
287,@ctochor,"Corey Tochor, MP",1230,708,2009-03-27 19:40:34
288,@melaniejoly,M\xc3\xa9lanie Joly,53226,2704,2009-03-19 03:20:02
289,@HedyFry,Dr. Hedy Fry,20537,1851,2009-03-18 18:53:49
290,@DaneLIoydMP,Dane Lloyd,2598,860,2009-03-15 18:04:47
291,@EricDuncanSDSG,Eric Duncan,6472,3338,2009-03-15 16:14:44
292,@BlakeRichardsMP,\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 Blake Richards \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,10111,6329,2009-03-13 13:38:25
293,@SeamusORegan,Seamus O'Regan Jr,52834,3994,2009-03-04 22:57:49
294,@PLDusseault,Pierre-Luc Dusseault,4597,2278,2009-03-04 15:19:51
295,@Gudie,Gudie Hutchings,5082,1129,2009-02-23 20:06:30
296,@OmarAlghabra,Omar Alghabra,21203,4243,2009-02-05 23:00:50
297,@BrianMasseMP,Brian Masse,8244,3830,2009-01-30 02:35:43
298,@TonyVanBynen,Tony Van Bynen,4741,1511,2009-01-28 03:39:59
299,@MPJulian,Peter Julian,19541,14112,2009-01-26 21:04:00
300,@nikiashton,Niki Ashton,41284,6282,2009-01-06 00:53:56
301,@MatthewGreenNDP,Matthew Green \xf0\x9f\x8d\x8a\xf0\x9f\x93\x88\xe2\x9c\x8a\xf0\x9f\x8f\xbe,34481,26175,2008-12-03 00:41:31
302,@terrybeech,Terry Beech \xe9\xbb\x83\xe5\xbf\x97\xe5\xb3\xb0,5013,1721,2008-09-14 03:11:30
303,@DanAlbas,Dan Albas,12578,7270,2008-09-14 00:39:19
304,@ElizabethMay,Elizabeth May,326647,7055,2008-09-10 13:24:51
305,@DonDavies,Don Davies MP,16039,3611,2008-09-08 18:56:52
306,@JoyceMurray,Joyce Murray \xe6\xa2\x85\xe9\xba\x97\xe5\x96\xac,14280,4145,2008-09-08 04:46:14
307,@sbergeron,St\xc3\xa9phane Bergeron,13545,678,2008-08-27 17:21:44
308,@jeneroux,"Matt Jeneroux, MP",7460,1338,2008-08-11 17:48:05
309,@CanadianPM,CanadianPM,536407,939,2008-05-09 14:25:26
310,@MichelleRempel,Michelle Rempel Garner,131546,3019,2008-04-26 03:10:53
311,@JustinTrudeau,Justin Trudeau,5669153,941,2008-03-30 21:04:14
312,@KenHardie,Ken Hardie,4597,832,2007-04-03 20:33:54
